id,name
1,新店
2,新店區公所
3,七張
4,大坪林
5,景美
6,萬隆
7,公館
8,臺電大樓
9,古亭
10,中正紀念堂
11,小南門
12,西門
13,北門
14,中山
15,松江南京
16,南京復興
17,臺北小巨蛋
18,南京三民
19,松山
